"filename", "language", "Batch", "Markdown", "PowerShell", "JSON", "TypeScript", "YAML", "HTML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"g:\WelandCSCA\client\src\pages\Study.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 663, 0, 44, 123, 830
"g:\WelandCSCA\client\src\pages\Study.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 389, 7, 26, 422
"g:\WelandCSCA\client\src\pages\Test.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 927, 0, 47, 167, 1141
"g:\WelandCSCA\client\src\services\api.ts", "TypeScript", 0, 0, 0, 0, 191, 0, 0, 0, 0, 9, 13, 213
"g:\WelandCSCA\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 4, 12
"g:\WelandCSCA\client\tsconfig.node.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"g:\WelandCSCA\client\vite.config.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"g:\WelandCSCA\server\package-lock.json", "JSON", 0, 0, 0, 2519, 0, 0, 0, 0, 0, 0, 1, 2520
"g:\WelandCSCA\server\package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"g:\WelandCSCA\server\src\config\database.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"g:\WelandCSCA\server\src\config\initDatabase.ts", "TypeScript", 0, 0, 0, 0, 179, 0, 0, 0, 0, 19, 26, 224
"g:\WelandCSCA\server\src\index.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 7, 12, 49
"g:\WelandCSCA\server\src\middleware\adminAuth.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 9, 39
"g:\WelandCSCA\server\src\middleware\auth.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 7, 25
"g:\WelandCSCA\server\src\routes\admin.ts", "TypeScript", 0, 0, 0, 0, 524, 0, 0, 0, 0, 33, 106, 663
"g:\WelandCSCA\server\src\routes\auth.ts", "TypeScript", 0, 0, 0, 0, 119, 0, 0, 0, 0, 18, 31, 168
"g:\WelandCSCA\server\src\routes\dify.ts", "TypeScript", 0, 0, 0, 0, 431, 0, 0, 0, 0, 41, 92, 564
"g:\WelandCSCA\server\src\routes\index.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"g:\WelandCSCA\server\src\routes\mockTest.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 3, 10, 50
"g:\WelandCSCA\server\src\routes\questions.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 16, 72
"g:\WelandCSCA\server\src\routes\study.ts", "TypeScript", 0, 0, 0, 0, 112, 0, 0, 0, 0, 9, 21, 142
"g:\WelandCSCA\server\src\routes\tests.ts", "TypeScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 5, 19, 90
"g:\WelandCSCA\start-dev.bat", "Batch", 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 66
"g:\WelandCSCA\start-dev.ps1", "PowerShell", 0, 0, 55, 0, 0, 0, 0, 0, 0, 9, 10, 74
"Total", "-", 54, 572, 55, 4636, 5543, 52, 18, 6058, 5715, 690, 2246, 25639
